0,1,6,0
0,2,12,0
0,3,3,0
0,4,1,0
0,5,1,0
0,6,10,0
0,7,18,0
0,8,7,0
0,15,4,0
0,16,1,0
0,19,3,0
0,20,2,0
0,21,3,0
0,23,1,0
0,25,2,0
0,33,2,0
0,35,1,0
0,36,1,0
0,39,1,0
1,0,10,0
1,2,7,0
1,3,2,0
1,4,3,0
1,5,4,0
1,13,2,0
1,15,2,0
1,20,2,0
1,23,1,0
1,34,6,0
1,36,1,0
1,37,2,0
2,0,7,0
2,1,2,0
2,4,5,0
2,5,1,0
2,6,2,0
2,7,2,0
2,12,1,0
2,15,1,0
2,18,1,0
2,23,2,0
3,0,3,0
3,1,8,0
3,4,6,0
3,9,4,0
3,15,2,0
3,23,1,0
3,33,1,0
4,1,2,0
4,2,3,0
4,3,1,0
4,18,2,0
4,29,2,0
4,37,2,0
5,0,1,0
5,4,3,0
5,6,3,0
5,9,2,0
5,10,1,0
5,15,3,0
5,18,2,0
5,23,3,0
5,27,1,0
5,34,1,0
5,35,2,0
6,0,9,0
6,3,2,0
6,7,1,0
6,10,1,0
6,20,1,0
6,39,1,0
7,0,14,0
7,2,2,0
7,12,2,0
8,0,10,0
8,11,12,0
8,12,3,0
8,13,1,0
8,16,2,0
8,28,1,0
9,1,3,0
9,2,2,0
9,3,2,0
9,10,1,0
9,15,2,0
9,18,1,0
9,19,1,0
10,9,1,0
10,22,2,0
10,30,1,0
11,7,2,0
11,8,12,0
11,13,1,0
11,14,4,0
11,15,2,0
11,28,2,0
12,0,2,0
12,2,1,0
12,8,3,0
12,13,2,0
12,14,8,0
12,17,2,0
12,24,2,0
12,28,1,0
12,31,1,0
13,1,2,0
13,8,2,0
13,11,5,0
13,12,1,0
13,34,1,0
14,11,4,0
14,12,10,0
14,17,1,0
14,29,1,0
15,0,1,0
15,1,1,0
15,2,1,0
15,5,2,0
15,9,3,0
16,0,1,0
16,8,2,0
16,14,1,0
16,27,2,0
17,0,1,0
17,1,3,0
17,5,1,0
17,12,1,0
17,14,4,0
17,16,1,0
17,19,2,0
18,2,1,0
18,4,1,0
18,9,2,0
19,0,3,0
19,9,2,0
19,17,2,0
19,26,2,0
19,28,1,0
20,0,2,0
20,1,6,0
20,4,1,0
21,5,3,0
21,24,1,0
22,0,3,0
22,10,2,0
23,1,1,0
23,2,2,0
23,4,2,0
23,5,2,0
23,9,1,0
23,17,1,0
24,0,3,0
24,12,2,0
24,15,1,0
25,0,2,0
25,1,1,0
26,19,2,0
26,28,1,0
27,1,1,0
27,16,1,0
28,7,1,0
28,8,1,0
28,26,2,0
28,36,2,0
29,12,1,0
29,34,2,0
33,0,6,0
33,3,1,0
34,0,1,0
34,1,1,0
34,13,1,0
35,0,1,0
35,1,1,0
36,1,1,0
36,8,2,0
36,11,2,0
37,1,2,0
37,5,2,0
38,0,1,0
0,1,12,1
0,2,3,1
0,3,2,1
0,4,3,1
0,5,14,1
0,6,9,1
0,7,11,1
0,9,1,1
0,10,15,1
0,12,2,1
0,15,1,1
0,16,8,1
0,17,6,1
0,18,1,1
0,20,4,1
0,22,1,1
0,26,2,1
0,27,4,1
0,28,4,1
0,33,2,1
0,34,1,1
0,35,1,1
0,39,1,1
1,0,8,1
1,2,5,1
1,3,4,1
1,5,2,1
1,9,2,1
1,13,1,1
1,20,4,1
1,27,3,1
1,29,4,1
1,32,2,1
1,37,1,1
2,0,5,1
2,1,2,1
2,3,4,1
2,4,4,1
2,5,2,1
2,13,2,1
2,15,1,1
2,18,2,1
2,20,4,1
2,21,1,1
3,0,3,1
3,1,3,1
3,2,3,1
3,9,1,1
3,15,2,1
3,17,2,1
3,22,2,1
3,39,1,1
4,0,2,1
4,1,3,1
4,2,4,1
4,23,2,1
5,0,9,1
5,1,1,1
5,2,3,1
5,4,1,1
5,15,1,1
5,27,4,1
5,29,3,1
